Model;Region;Scenario;Variable;Unit;2015;2020;2025;2030;2035;2040;2045;2050;2055;2060;2065;2070;2075;2080;2085;2090;2095;2100
AIM/CGE;World;2C;Extraction and Conversion - Bioenergy;Billion US$2015/yr;15,62019;18,9509754;32,3160752;49,4374122;141,5705539;165,9326153;94,259205;411,047963;201,9985144;328,2199761;197,0126628;179,6892525;186,9464993;188,9765805;204,5851396;214,0019293;216,963026;217,7583839
AIM/CGE;World;2C;Extraction and Conversion - Nuclear;Billion US$2015/yr;75,82021575;88,45124753;124,2118257;135,530005;115,4596263;27,86589055;27,8232418;62,03182706;95,26075156;93,74731263;109,8290594;99,82069826;105,6595393;108,2960795;116,8031972;125,9220365;132,2326727;148,5007878
AIM/CGE;World;2C;Electricity - T&D and Storage;Billion US$2015/yr;309,3682438;329,6115535;709,88709;1079,401435;1693,468497;909,8917203;862,3044908;1384,120145;1437,230639;1467,900996;1365,758867;1268,995649;1300,516366;1300,278313;1372,042706;1434,387917;1471,200802;1594,583455
AIM/CGE;World;2C;CCS;Billion US$2015/yr;0;0;0;17,7958205;84,0716236;236,5330479;336,8529301;216,1786468;369,9944731;394,2913145;397,3994823;383,6018652;397,2549113;401,3188782;413,5557807;432,8120944;455,621485;451,0558676
AIM/CGE;World;2C;Energy Efficiency;Billion US$2015/yr;221;239,6427586;286,2496901;367,4202188;484,4897052;580,6511428;632,7620401;676,8069501;719,4396239;759,2248541;794,8887496;822,5765272;844,7761579;862,4523692;877,4571879;892,8312357;907,2498115;920,5439291
AIM/CGE;World;2C;Energy Supply|Electricity|Coal|w/ CCS;Billion US$2015/yr;0;0;0;3,8456973;5,5102204;22,8399353;76,7135032;28,4757042;42,085379;38,3031625;43,0412868;55,8364725;61,8547567;65,2795676;65,8225241;70,9631645;71,9684221;65,343918
AIM/CGE;World;2C;Energy Supply|Electricity|Coal|w/o CCS;Billion US$2015/yr;83,89088268;78,6611898;7,7928117;2,9506615;0,0472845;12,427671;51,3674894;21,3353099;32,712178;29,6639039;33,3541602;43,8740375;48,398675;50,9408419;51,2931386;55,2704716;56,109853;51,16509
AIM/CGE;World;2C;Energy Supply|Electricity|Gas|w/ CCS;Billion US$2015/yr;0;0;0;6,4623237;31,7671402;74,0744846;102,3523548;72,1536469;112,4712378;101,7159163;94,741833;94,022239;94,3573611;91,5995334;96,1780861;96,8971366;101,0150187;102,9568355
AIM/CGE;World;2C;Energy Supply|Electricity|Gas|w/o CCS;Billion US$2015/yr;100,0600892;93,1829663;124,7111839;71,4268787;40,5899931;83,7179138;82,878315;58,8623544;92,0290071;79,161862;85,2769979;85,5852711;85,4834192;83,8940078;88,5988699;86,9651089;88,5519115;95,9169887
AIM/CGE;World;2C;Energy Supply|Electricity|Oil|w/ CCS;Billion US$2015/yr;0;0;0;2,1041059;9,4208116;23,7997563;32,68609;22,4042657;32,8928374;31,455606;28,1198204;28,7993041;27,5528412;28,2231941;28,494618;28,4813566;30,8741697;30,8409075
AIM/CGE;World;2C;Energy Supply|Electricity|Biomass|w/ CCS;Billion US$2015/yr;0;0;0;0;10,9382636;53,1363645;47,1949312;62,7657714;122,1270588;144,1602227;168,663268;150,5237381;157,9568615;160,3154341;168,8972991;176,1962867;183,7872425;185,1380574
